applicant_name,country,patent_count,last_filing_year
"MICRON TECHNOLOGY INC",US,61,2024
"SAMSUNG ELECTRONICS CO LTD",KR,25,2024
"SANDISK TECHNOLOGIES LLC",US,18,2020
IBM,KR,18,2022
"INTEL CORP",US,17,2022
"GOOGLE LLC",US,16,2024
IBM,US,12,2022
"MICRON TECHNOLOGY INC",,11,2024
"SAMSUNG ELECTRONICS CO LTD",,10,2024
"MOSAID TECHNOLOGIES INC",CA,10,2013
"XILINX INC",US,8,2020
"SK HYNIX INC",KR,7,2023
"GOOGLE INC",US,5,2012
"YANGTZE MEMORY TECH CO LTD",CN,5,2020
"SPERRY RAND CORP",,5,1971
"UNITY SEMICONDUCTOR CORP",,4,2007
"BURROUGHS CORP",US,4,1981
"TAHOE RES LTD",IE,4,2024
"YANGTZE MEMORY TECHNOLOGIES CO LTD",CN,4,2019
"JEDDELOH JOSEPH M",US,4,2011
"RAJAN SURESH NATARAJAN",US,4,2012
"SCHAKEL KEITH R",US,3,2012
"GILLINGHAM PETER",CA,3,2010
AMPEX,,3,1972
桑迪士克科技有限责任公司,,3,2019
"INTEL CORP",,3,2020
"ADVANCED MICRO DEVICES INC",US,3,2023
"BROADCOM INT PTE LTD",SG,3,2022
"SANDISK TECHNOLOGIES INC",US,3,2016
"BURKIN JURY ALEXANDROVICH",,3,1974
"WEBER FREDERICK DANIEL",US,3,2012
"SELEZNEV JURY EMELYANOVICH",,3,1974
"NVIDIA CORP",,3,2022
"IRVINE SENSORS CORP",US,3,1993
"WANG DAVID T",US,3,2012
"HUAWEI TECH CO LTD",CN,3,2021
"INTEL IP CORP",US,3,2016
"SMITH MICHAEL J S",US,3,2012
"TAIWAN SEMICONDUCTOR MFG CO LTD",,3,2023
"MILLAR BRUCE",CA,3,2010
"COTEUS PAUL W",US,2,2012
"GOOGLE LLC",,2,2021
美光科技公司,,2,2020
"JANZEN JEFFERY W",US,2,2009
"LABERGE PAUL A",US,2,2009
"BROADCOM INT PTY LTD",,2,2022
"AVAGO TECH INTERNATIONAL SALES PTE LIMITED",SG,2,2023
"SK HYNIX INC",,2,2023
"NVIDIA CORP",US,2,2022
"RAMBUS INC",US,2,2023
"ISAAK HARLAN R",US,2,2002
"AVAGO TECH INT SALES PTE LID",SG,2,2024
"HO MING-JING",TW,2,2023
"UNIV YONSEI IACF",KR,2,2021
IBM,,2,2024
"KIM KYU-HYOUN",US,2,2012
"YANGTZE MEMORY TECH CO LTD",,2,2019
"ADEIA SEMICONDUCTOR TECH LLC",US,2,2023
"SUNRISE MEMORY CORP",US,2,2022
"CADENCE DESIGN SYSTEMS INC",US,2,2017
"PARTRIDGE JULIAN",US,1,2004
"WALTHES WOLFGANG",DE,1,2007
"IBM UK",GB,1,2022
"YANGTZE DELTA REGION INST TSINGHUA UNIV ZHEJIANG",,1,2020
"ROPER DAVID",US,1,2004
"STORAGE TECHNOLOGY CORP",US,1,1994
"AYGUN KEMAL",US,1,2016
"NAUK SSSR",,1,1973
"RAJAN SURESH N",US,1,2007
三星电子株式会社,,1,2018
"HONGQIN BEIJING TECH CO LTD",,1,2016
"WESTERN DIGITAL TECH INC",,1,2021
"SKERLJ MAURIZIO",DE,1,2007
"TAIWAN SEMICONDUCTOR MFG",TW,1,2020
"KILBUCK KEVIN M",US,1,2005
"VYCHISLITELNY TSTENTR SIB OTDE",,1,1973
"CONVERSANT INTELLECTUAL PROPERTY MAN INC",CA,1,2014
"ORACLE INT CORP",US,1,2014
"RAPPORT RUSSELL",US,1,2004
"JANZEN JEFFERY",US,1,2006
"STECKER JOHANNES",DE,1,2007
"KIOXIA CORP",JP,1,2020
"TUTTLE JOHN R",US,1,2009
"BURROUGHS CORP",,1,1982
"NAT CENTER FOR ADVANCED PACKAGING CO LTD",CN,1,2023
"FOREHOPE SEMICONDUCTOR NINGBO LTD COMPANY",,1,2024
"QIMONDA AG",DE,1,2007
"ZHEJIANG HEXIN INTEGRATED CIRCUIT CO LTD",,1,2023
"HONEYWELL INC",,1,1971
"WEHRLY JAMES JR",US,1,2004
"RUCKERBAUER HERMANN",DE,1,2007
"KARHADE OMKAR GOPALKRISHNA",US,1,2024
"META PLATFORMS TECH LLC",US,1,2023
"VYCHISLITELNY TSENTR SIBIRSKOGO OTDELENLA AKADEMII NAUR ASSE",,1,1974
"CISCO TECH INC",US,1,2017
"WUXI ZHONGWEI YIXIN CO LTD",,1,2020
"GOOGLE INC",,1,2023
格芯(美国)集成电路科技有限公司,,1,2017
"STAKTEK GROUP LP",US,1,2004
"TSAI CHENG-HSUN",TW,1,2002
"MUXI TECH BEIJING CO LTD",,1,2023
"KINSLEY THOMAS H",US,1,2005
"QIAN ZHIGUO",US,1,2016
"DESHPANDE NITIN ASHOK",US,1,2024
"INTEL COMPANY",,1,2021
"ADVANCED MICRO DEVICES INC",,1,2022
"RUBY PAUL",US,1,2007
赛灵思公司,,1,2019
"BILGER CHRISTOPH",DE,1,2007
"SYNOPSYS INC",US,1,2017
"MALLIK DEBENDRA",US,1,2024
"CADY JAMES",US,1,2004
"WILDER JAMES",US,1,2004
"GLOBALFOUNDRIES US INC",US,1,2017
"RAMBUS INC",,1,2021
安华高科技股份有限公司,,1,2024
"APPLE INC",US,1,2014
"SANDISK ENTPR IP LLC",US,1,2014
"TEXAS INSTRUMENTS INC",US,1,1998
"BUCHLE JEFF",US,1,2004
"PRECIADO JACKIE C",US,1,2016
"GREGORIUS PETER",DE,1,2007
"CYPRESS SEMICONDUCTOR CORP",US,1,2002
"ICLEAGUE TECH CO LTD",,1,2020
"ROUND ROCK RES LLC",US,1,2012
英特尔公司,,1,2017
"BARTH ROLAND",DE,1,2007
"SCHEIDELER DIRK",DE,1,2007
"JANZEN JEFFREY W",US,1,2012
"LODESTAR LICENSING GROUP LLC",US,1,2023
"UNIV INHA RES & BUSINESS FOUND",KR,1,2020
"NGUYEN DARIN DUNG",US,1,2015
"GLOBALFOUNDRIES INC",KY,1,2016
"三星電子株式会社ＳＡＭＳＵＮＧ ＥＬＥＣＴＲＯＮＩＣＳ ＣＯ．，ＬＴＤ．",,1,2018
"WESTERN DIGITAL TECH INC",US,1,2020
"APPLE INC",,1,2023
"BRUENNERT MICHAEL",DE,1,2007
"KIM DAE-WOO",US,1,2016
