inventor_name,country,patent_count
"ZHENG HONGZHONG",US,10
"CHANG MU-TIEN",US,10
"KANG TECKGYU",US,8
"BOJA RONILO V",US,7
"MCTEER EVERETT ALLEN",US,7
"ZHENG HONGZHONG",,7
"MCCALL JAMES A",US,7
"HU YONGJUN JEFF",US,7
"KWON WOON SEONG",US,7
"GANS DEAN D",US,6
"MILLAR BRUCE",CA,6
"HASBUN ROBERT NASRY",US,6
"WRIGHT JEFFREY P",US,6
"HOLLIS TIMOTHY M",US,6
"ALSMEIER JOHANN",US,6
"VERGIS GEORGE",US,6
"ZHANG TONG",US,5
"LABERGE PAUL A",US,5
"BAINS KULJIT S",US,5
"ZHENG HONGZHONG",CN,5
"AHMAD SAGHEER",US,5
"OH MOON HEE",KR,5
"KILBUCK KEVIN M",US,5
"JEDDELOH JOSEPH M",US,5
"KIRBY KYLE K",US,5
"TOMISHIMA SHIGEKI",US,5
"NIU DIMIN",,5
"KIM KI HEUNG",KR,5
"KINSLEY THOMAS H",US,5
"WOLTER ANDREAS",DE,4
