appln_id,full_pub_number,Abstract
611474683,US12176059B2,"Some memory dies in a stack can be connected externally to the stack and other memory dies in the stack can be connected internally to the stack. The memory dies that are connected externally can act as interface dies for other memory dies that are connected internally thereto. The external connections can be used for transmitting signals indicative of data to and/or from the memory dies while the memory dies in the stack can be connected by a cascading connection for transmission of other signals such as command, address, power, ground, etc."
611474683,US12176059B2,"Some memory dies in a stack can be connected externally to the stack and other memory dies in the stack can be connected internally to the stack. The memory dies that are connected externally can act as interface dies for other memory dies that are connected internally thereto. The external connections can be used for transmitting signals indicative of data to and/or from the memory dies while the memory dies in the stack can be connected by a cascading connection for transmission of other signals such as command, address, power, ground, etc."
611474683,US12176059B2,"Some memory dies in a stack can be connected externally to the stack and other memory dies in the stack can be connected internally to the stack. The memory dies that are connected externally can act as interface dies for other memory dies that are connected internally thereto. The external connections can be used for transmitting signals indicative of data to and/or from the memory dies while the memory dies in the stack can be connected by a cascading connection for transmission of other signals such as command, address, power, ground, etc."
611474683,US12176059B2,"Some memory dies in a stack can be connected externally to the stack and other memory dies in the stack can be connected internally to the stack. The memory dies that are connected externally can act as interface dies for other memory dies that are connected internally thereto. The external connections can be used for transmitting signals indicative of data to and/or from the memory dies while the memory dies in the stack can be connected by a cascading connection for transmission of other signals such as command, address, power, ground, etc."
611474683,US12176059B2,"Some memory dies in a stack can be connected externally to the stack and other memory dies in the stack can be connected internally to the stack. The memory dies that are connected externally can act as interface dies for other memory dies that are connected internally thereto. The external connections can be used for transmitting signals indicative of data to and/or from the memory dies while the memory dies in the stack can be connected by a cascading connection for transmission of other signals such as command, address, power, ground, etc."
611474683,US12176059B2,"Some memory dies in a stack can be connected externally to the stack and other memory dies in the stack can be connected internally to the stack. The memory dies that are connected externally can act as interface dies for other memory dies that are connected internally thereto. The external connections can be used for transmitting signals indicative of data to and/or from the memory dies while the memory dies in the stack can be connected by a cascading connection for transmission of other signals such as command, address, power, ground, etc."
611474683,US12176059B2,"Some memory dies in a stack can be connected externally to the stack and other memory dies in the stack can be connected internally to the stack. The memory dies that are connected externally can act as interface dies for other memory dies that are connected internally thereto. The external connections can be used for transmitting signals indicative of data to and/or from the memory dies while the memory dies in the stack can be connected by a cascading connection for transmission of other signals such as command, address, power, ground, etc."
611474683,US12176059B2,"Some memory dies in a stack can be connected externally to the stack and other memory dies in the stack can be connected internally to the stack. The memory dies that are connected externally can act as interface dies for other memory dies that are connected internally thereto. The external connections can be used for transmitting signals indicative of data to and/or from the memory dies while the memory dies in the stack can be connected by a cascading connection for transmission of other signals such as command, address, power, ground, etc."
612372230,EP4471771A1,"The subject technology is directed to systems and methods for semiconductor devices with extended high-bandwidth memory (HBM) offsets. In a specific embodiment, the subject technology provides an apparatus that includes a circuit comprising a first connector and a second connector. The circuit is configured to send a first signal using the first connector to indicate a first selection. The apparatus further includes a first memory device comprising a first selector and a third connector and a fourth connector. The first selector is configured to couple the third connector to the second connector based on the first signal. The one or more connectors of the first memory devices cover a broad distance to ensure robust connectivity between the circuit and the first memory device. There are other embodiments as well."
612372230,EP4471771A1,"The subject technology is directed to systems and methods for semiconductor devices with extended high-bandwidth memory (HBM) offsets. In a specific embodiment, the subject technology provides an apparatus that includes a circuit comprising a first connector and a second connector. The circuit is configured to send a first signal using the first connector to indicate a first selection. The apparatus further includes a first memory device comprising a first selector and a third connector and a fourth connector. The first selector is configured to couple the third connector to the second connector based on the first signal. The one or more connectors of the first memory devices cover a broad distance to ensure robust connectivity between the circuit and the first memory device. There are other embodiments as well."
