appln_id,full_pub_number,Abstract
620662031,US2024371410A1,Abstract 없음
620982782,US2024379568A1,Abstract 없음
620982782,US2024379568A1,Abstract 없음
620982782,US2024379568A1,Abstract 없음
624030320,US2025006250A1,Abstract 없음
624030320,US2025006250A1,Abstract 없음
624030320,US2025006250A1,Abstract 없음
624030320,US2025006250A1,Abstract 없음
624030320,US2025006250A1,Abstract 없음
624030320,US2025006250A1,Abstract 없음
624030320,US2025006250A1,Abstract 없음
624030320,US2025006250A1,Abstract 없음
624030320,US2025006250A1,Abstract 없음
624030320,US2025006250A1,Abstract 없음
624030320,US2025006250A1,Abstract 없음
625436440,US2025045238A1,Abstract 없음
625436440,US2025045238A1,Abstract 없음
613354237,US2024203827A1,Abstract 없음
613354237,US2024203827A1,Abstract 없음
613354237,US2024203827A1,Abstract 없음
613354237,US2024203827A1,Abstract 없음
613354237,US2024203827A1,Abstract 없음
613354237,US2024203827A1,Abstract 없음
613354237,US2024203827A1,Abstract 없음
613354237,US2024203827A1,Abstract 없음
615268648,US2024250082A1,Abstract 없음
615268648,US2024250082A1,Abstract 없음
615268648,US2024250082A1,Abstract 없음
615268648,US2024250082A1,Abstract 없음
615268648,US2024250082A1,Abstract 없음
615268648,US2024250082A1,Abstract 없음
615268648,US2024250082A1,Abstract 없음
615268648,US2024250082A1,Abstract 없음
615268648,US2024250082A1,Abstract 없음
615268648,US2024250082A1,Abstract 없음
619971361,US2024357839A1,Abstract 없음
619971361,US2024357839A1,Abstract 없음
619971361,US2024357839A1,Abstract 없음
619971361,US2024357839A1,Abstract 없음
619971361,US2024357839A1,Abstract 없음
619971361,US2024357839A1,Abstract 없음
620662031,US2024371410A1,Abstract 없음
620662031,US2024371410A1,Abstract 없음
620982782,US2024379568A1,Abstract 없음
620982782,US2024379568A1,Abstract 없음
620982782,US2024379568A1,Abstract 없음
620982782,US2024379568A1,Abstract 없음
620982782,US2024379568A1,Abstract 없음
620982782,US2024379568A1,Abstract 없음
620982782,US2024379568A1,Abstract 없음
620982782,US2024379568A1,Abstract 없음
620982782,US2024379568A1,Abstract 없음
620982782,US2024379568A1,Abstract 없음
620982782,US2024379568A1,Abstract 없음
620982782,US2024379568A1,Abstract 없음
620982782,US2024379568A1,Abstract 없음
620982782,US2024379568A1,Abstract 없음
620982782,US2024379568A1,Abstract 없음
622997408,US2024421080A1,Abstract 없음
622997408,US2024421080A1,Abstract 없음
622997408,US2024421080A1,Abstract 없음
622997408,US2024421080A1,Abstract 없음
622997408,US2024421080A1,Abstract 없음
622997408,US2024421080A1,Abstract 없음
622997408,US2024421080A1,Abstract 없음
622997408,US2024421080A1,Abstract 없음
622997408,US2024421080A1,Abstract 없음
624030320,US2025006250A1,Abstract 없음
624030320,US2025006250A1,Abstract 없음
624030320,US2025006250A1,Abstract 없음
624030320,US2025006250A1,Abstract 없음
624030320,US2025006250A1,Abstract 없음
624030320,US2025006250A1,Abstract 없음
624030320,US2025006250A1,Abstract 없음
601096424,US2023350830A1,Abstract 없음
601096424,US2023350830A1,Abstract 없음
601096424,US2023350830A1,Abstract 없음
601096424,US2023350830A1,Abstract 없음
601096424,US2023350830A1,Abstract 없음
601096424,US2023350830A1,Abstract 없음
601096424,US2023350830A1,Abstract 없음
601096424,US2023350830A1,Abstract 없음
601096945,US2023351063A1,Abstract 없음
601096945,US2023351063A1,Abstract 없음
601096945,US2023351063A1,Abstract 없음
604622270,US2024004814A1,Abstract 없음
604622270,US2024004814A1,Abstract 없음
604622270,US2024004814A1,Abstract 없음
604622270,US2024004814A1,Abstract 없음
604622270,US2024004814A1,Abstract 없음
604622270,US2024004814A1,Abstract 없음
604622270,US2024004814A1,Abstract 없음
604622270,US2024004814A1,Abstract 없음
604622270,US2024004814A1,Abstract 없음
604622270,US2024004814A1,Abstract 없음
607571193,JP7451819B2,Abstract 없음
607571193,JP7451819B2,Abstract 없음
607571193,JP7451819B2,Abstract 없음
607571193,JP7451819B2,Abstract 없음
607571193,JP7451819B2,Abstract 없음
607571193,JP7451819B2,Abstract 없음
607571193,JP7451819B2,Abstract 없음
607571193,JP7451819B2,Abstract 없음
607571193,JP7451819B2,Abstract 없음
607571193,JP7451819B2,Abstract 없음
607571193,JP7451819B2,Abstract 없음
622131238,US2024403240A1,Abstract 없음
622131238,US2024403240A1,Abstract 없음
